id,label_0,label_0_prob,label_1,label_1_prob,label_2,label_2_prob
370,7,0.98353577,19,0.009742247,1,0.0019091346
371,7,0.9809224,19,0.01205639,1,0.0016444317
372,7,0.5205811,19,0.46018434,8,0.0027796316
373,7,0.9950552,19,0.0010735153,1,0.0010528561
374,7,0.99586606,1,0.0008410978,19,0.00072676287
375,7,0.99476767,19,0.0010534667,1,0.0010035909
376,7,0.9915611,19,0.002936908,1,0.0017611763
377,8,0.99461126,7,0.0009592757,19,0.00071903045
378,8,0.9686475,7,0.012741345,10,0.008478719
379,15,0.99371606,19,0.0012148245,1,0.0008167613
380,7,0.93670166,8,0.045376655,19,0.0048419577
381,7,0.99617434,19,0.0005930045,8,0.00053570175
382,10,0.9788643,7,0.008637837,8,0.004693539
383,7,0.9952598,19,0.00077417487,4,0.0007539001
384,7,0.98907244,8,0.0033669325,1,0.0017886735
385,7,0.9892212,19,0.003617689,8,0.0015494075
386,7,0.9952756,19,0.001110908,1,0.0007931733
387,7,0.99518,19,0.0010487679,1,0.0006605995
388,7,0.9956508,21,0.00096638774,1,0.00043445663
